Stock,merged,Total_true,Total_false,UpTrend_Per,Up_True,Up_false,DownTrend_Per,down_True,down_False
HDFCLIFE.csv,50.0,6,6,50.0,3,3,50.0,3,3
HEG.csv,40.0,2,3,0.0,0,2,66.67,2,1
HEIDELBERG.csv,50.0,7,7,50.0,4,4,50.0,3,3
HEROMOTOCO.csv,0.0,0,10,0.0,0,4,0.0,0,6
HESTERBIO.csv,33.33,1,2,0.0,0,1,50.0,1,1
HGS.csv,42.86,3,4,66.67,2,1,25.0,1,3
HIKAL.csv,0.0,0,4,0.0,0,2,0.0,0,2
HIL.csv,60.0,6,4,100.0,5,0,20.0,1,4
HIMATSEIDE.csv,40.0,4,6,0.0,0,2,50.0,4,4
HINDALCO.csv,100.0,2,0,100.0,2,0,-1.0,-1,-1
HINDCOPPER.csv,80.0,4,1,66.67,2,1,100.0,2,0
HINDOILEXP.csv,16.67,1,5,-1,-1,-1,16.67,1,5
HINDPETRO.csv,66.67,2,1,66.67,2,1,-1.0,-1,-1
HINDUNILVR.csv,0.0,0,5,0.0,0,2,0.0,0,3
HINDZINC.csv,37.5,3,5,42.86,3,4,0.0,0,1
HMVL.csv,27.27,3,8,28.57,2,5,25.0,1,3
HONAUT.csv,25.0,2,6,0.0,0,2,33.33,2,4
HONDAPOWER.csv,20.0,2,8,16.67,1,5,25.0,1,3
HSIL.csv,14.29,1,6,16.67,1,5,0.0,0,1
HUDCO.csv,50.0,2,2,50.0,1,1,50.0,1,1
HUHTAMAKI.csv,42.86,6,8,0.0,0,1,46.15,6,7
IBULHSGFIN.csv,62.5,5,3,40.0,2,3,100.0,3,0
ICICIBANK.csv,45.45,5,6,66.67,4,2,20.0,1,4
ICICIGI.csv,42.86,3,4,0.0,0,1,50.0,3,3
ICICIPRULI.csv,22.22,2,7,0.0,0,3,33.33,2,4
IDBI.csv,54.55,6,5,66.67,6,3,0.0,0,2
IDEA.csv,38.46,5,8,16.67,1,5,57.14,4,3
IDFC.csv,66.67,4,2,66.67,4,2,-1.0,-1,-1
IDFCFIRSTB.csv,53.85,7,6,80.0,4,1,37.5,3,5
IEX.csv,23.08,3,10,50.0,2,2,11.11,1,8
IFBIND.csv,25.0,2,6,0.0,0,1,28.57,2,5
IGARASHI.csv,66.67,6,3,100.0,2,0,57.14,4,3
IGL.csv,27.27,3,8,0.0,0,3,37.5,3,5
IGPL.csv,30.0,3,7,50.0,1,1,25.0,2,6
IIFL.csv,33.33,3,6,37.5,3,5,0.0,0,1
IIFLWAM.csv,50.0,4,4,57.14,4,3,0.0,0,1
IMFA.csv,72.73,8,3,85.71,6,1,50.0,2,2
IMPAL.csv,11.11,1,8,100.0,1,0,0.0,0,8
INDHOTEL.csv,25.0,2,6,40.0,2,3,0.0,0,3
INDIAGLYCO.csv,27.27,3,8,20.0,2,8,100.0,1,0
INDIAMART.csv,16.67,1,5,20.0,1,4,0.0,0,1
INDIANB.csv,33.33,3,6,33.33,3,6,-1.0,-1,-1
INDIGO.csv,42.86,3,4,50.0,3,3,0.0,0,1
INDNIPPON.csv,35.71,5,9,27.27,3,8,66.67,2,1
INDOCO.csv,14.29,1,6,33.33,1,2,0.0,0,4
INDORAMA.csv,40.0,2,3,33.33,1,2,50.0,1,1
INDUSINDBK.csv,60.0,3,2,0.0,0,1,75.0,3,1
INDUSTOWER.csv,62.5,10,6,0.0,0,2,71.43,10,4
INEOSSTYRO.csv,30.0,3,7,0.0,0,2,37.5,3,5
INFIBEAM.csv,0.0,0,5,0.0,0,1,0.0,0,4
INFY.csv,40.0,4,6,50.0,4,4,0.0,0,2
INGERRAND.csv,54.55,6,5,50.0,4,4,66.67,2,1
INOXWIND.csv,50.0,4,4,25.0,1,3,75.0,3,1
IOB.csv,57.14,4,3,100.0,1,0,50.0,3,3
IOC.csv,0.0,0,3,0.0,0,2,0.0,0,1
IPCALAB.csv,0.0,0,13,0.0,0,4,0.0,0,9
IRCTC.csv,42.86,3,4,50.0,2,2,33.33,1,2
IRFC.csv,20.0,1,4,0.0,0,1,25.0,1,3
ITC.csv,28.57,2,5,50.0,2,2,0.0,0,3
ITDC.csv,33.33,2,4,40.0,2,3,0.0,0,1
ITI.csv,22.22,2,7,0.0,0,3,33.33,2,4
JAGRAN.csv,33.33,4,8,57.14,4,3,0.0,0,5
JAYBARMARU.csv,33.33,4,8,37.5,3,5,25.0,1,3
JBMA.csv,100.0,6,0,100.0,6,0,-1.0,-1,-1
JCHAC.csv,47.62,10,11,75.0,3,1,41.18,7,10
JINDALPOLY.csv,66.67,8,4,62.5,5,3,75.0,3,1
JINDALSTEL.csv,85.71,6,1,85.71,6,1,-1.0,-1,-1
JINDWORLD.csv,0.0,0,8,0.0,0,4,0.0,0,4
JISLDVREQS.csv,64.71,11,6,100.0,7,0,40.0,4,6
JKCEMENT.csv,30.0,3,7,25.0,1,3,33.33,2,4
JPASSOCIAT.csv,66.67,6,3,66.67,6,3,-1.0,-1,-1
JSL.csv,50.0,2,2,50.0,2,2,-1.0,-1,-1
JSLHISAR.csv,66.67,6,3,66.67,6,3,-1.0,-1,-1
JSWENERGY.csv,20.0,1,4,50.0,1,1,0.0,0,3
JSWHL.csv,21.43,3,11,33.33,3,6,0.0,0,5
JSWSTEEL.csv,42.86,3,4,50.0,3,3,0.0,0,1
JTEKTINDIA.csv,10.0,1,9,0.0,0,6,25.0,1,3
JUBLFOOD.csv,42.86,3,4,42.86,3,4,-1.0,-1,-1
JUBLPHARMA.csv,25.0,4,12,-1,-1,-1,25.0,4,12
JUMPNET.csv,16.67,1,5,0.0,0,1,20.0,1,4
KAJARIACER.csv,35.71,5,9,22.22,2,7,60.0,3,2
KALPATPOWR.csv,9.09,1,10,20.0,1,4,0.0,0,6
KANSAINER.csv,23.81,5,16,0.0,0,11,50.0,5,5
KARURVYSYA.csv,18.18,2,9,22.22,2,7,0.0,0,2
KCP.csv,40.0,6,9,55.56,5,4,16.67,1,5
KEC.csv,30.0,3,7,75.0,3,1,0.0,0,6
KELLTONTEC.csv,31.25,5,11,0.0,0,3,38.46,5,8
KINGFA.csv,22.22,2,7,40.0,2,3,0.0,0,4
KIOCL.csv,33.33,4,8,57.14,4,3,0.0,0,5
KIRLFER.csv,50.0,6,6,71.43,5,2,20.0,1,4
KITEX.csv,50.0,3,3,40.0,2,3,100.0,1,0
KKCL.csv,27.78,5,13,45.45,5,6,0.0,0,7
KNRCON.csv,16.67,2,10,0.0,0,6,33.33,2,4
KOKUYOCMLN.csv,0.0,0,8,0.0,0,2,0.0,0,6
KOTAKBANK.csv,25.0,2,6,-1,-1,-1,25.0,2,6
KPITTECH.csv,37.5,3,5,60.0,3,2,0.0,0,3
KSB.csv,80.0,4,1,80.0,4,1,-1.0,-1,-1
KSCL.csv,0.0,0,10,0.0,0,7,0.0,0,3
KTKBANK.csv,25.0,2,6,40.0,2,3,0.0,0,3
KUANTUM.csv,44.44,4,5,42.86,3,4,50.0,1,1
LALPATHLAB.csv,46.15,6,7,54.55,6,5,0.0,0,2
LAURUSLABS.csv,22.22,2,7,16.67,1,5,33.33,1,2
LICHSGFIN.csv,12.5,1,7,0.0,0,3,20.0,1,4
LODHA.csv,77.78,7,2,83.33,5,1,66.67,2,1
LT.csv,60.0,9,6,50.0,5,5,80.0,4,1
LTI.csv,36.36,4,7,28.57,2,5,50.0,2,2
LUMAXIND.csv,50.0,6,6,0.0,0,1,54.55,6,5
LUPIN.csv,26.67,4,11,0.0,0,6,44.44,4,5
M&M.csv,40.0,2,3,40.0,2,3,-1.0,-1,-1
MAHABANK.csv,53.85,7,6,62.5,5,3,40.0,2,3
MAHINDCIE.csv,63.64,7,4,63.64,7,4,-1.0,-1,-1
MAHLIFE.csv,100.0,5,0,100.0,5,0,-1.0,-1,-1
MAHLOG.csv,66.67,6,3,57.14,4,3,100.0,2,0
MANGCHEFER.csv,7.14,1,13,14.29,1,6,0.0,0,7
MANGLMCEM.csv,46.67,7,8,46.15,6,7,50.0,1,1
MAPMYINDIA.csv,0.0,0,4,-1,-1,-1,0.0,0,4
MARICO.csv,10.0,1,9,12.5,1,7,0.0,0,2
MARKSANS.csv,50.0,8,8,33.33,1,2,53.85,7,6
MARUTI.csv,40.0,4,6,66.67,4,2,0.0,0,4
MASTEK.csv,88.89,8,1,80.0,4,1,100.0,4,0
MCDOWELL-N.csv,27.27,3,8,33.33,2,4,20.0,1,4
MCX.csv,10.0,1,9,0.0,0,1,11.11,1,8
MEP.csv,36.36,4,7,50.0,1,1,33.33,3,6
MFSL.csv,17.65,3,14,33.33,2,4,9.09,1,10
MGL.csv,26.67,4,11,25.0,3,9,33.33,1,2
MIDHANI.csv,14.29,1,6,0.0,0,3,25.0,1,3
MINDTREE.csv,37.5,3,5,60.0,3,2,0.0,0,3
MIRZAINT.csv,42.86,6,8,46.15,6,7,0.0,0,1
MMFL.csv,21.43,3,11,21.43,3,11,-1.0,-1,-1
MMTC.csv,33.33,4,8,80.0,4,1,0.0,0,7
MOIL.csv,0.0,0,4,0.0,0,3,0.0,0,1
MPHASIS.csv,20.0,2,8,0.0,0,2,25.0,2,6
MPSLTD.csv,37.5,3,5,20.0,1,4,66.67,2,1
MRF.csv,42.86,3,4,33.33,1,2,50.0,2,2
MSTCLTD.csv,15.38,2,11,16.67,1,5,14.29,1,6
MTNL.csv,11.11,1,8,20.0,1,4,0.0,0,4
MUTHOOTFIN.csv,25.0,1,3,-1,-1,-1,25.0,1,3
NACLIND.csv,8.33,1,11,33.33,1,2,0.0,0,9
NATCOPHARM.csv,28.57,2,5,0.0,0,2,40.0,2,3
NATIONALUM.csv,55.56,10,8,58.82,10,7,0.0,0,1
NAUKRI.csv,33.33,5,10,33.33,2,4,33.33,3,6
NAVKARCORP.csv,25.0,3,9,27.27,3,8,0.0,0,1
NAZARA.csv,0.0,0,2,-1,-1,-1,0.0,0,2
NBCC.csv,38.46,5,8,20.0,1,4,50.0,4,4
NBIFIN.csv,14.29,2,12,0.0,0,6,25.0,2,6
NECLIFE.csv,0.0,0,4,0.0,0,1,0.0,0,3
NELCO.csv,66.67,4,2,66.67,4,2,-1.0,-1,-1
NESTLEIND.csv,9.09,1,10,16.67,1,5,0.0,0,5
NETWORK18.csv,57.14,4,3,57.14,4,3,-1.0,-1,-1
NEULANDLAB.csv,21.43,3,11,28.57,2,5,14.29,1,6
NFL.csv,33.33,3,6,42.86,3,4,0.0,0,2
NHPC.csv,16.67,2,10,16.67,2,10,-1.0,-1,-1
NIACL.csv,70.59,12,5,50.0,2,2,76.92,10,3
NILKAMAL.csv,57.14,8,6,83.33,5,1,37.5,3,5
NLCINDIA.csv,0.0,0,10,0.0,0,8,0.0,0,2
NMDC.csv,40.0,4,6,20.0,1,4,60.0,3,2
NTPC.csv,27.27,3,8,27.27,3,8,-1.0,-1,-1
NUCLEUS.csv,57.14,4,3,-1,-1,-1,57.14,4,3
NXTDIGITAL.csv,0.0,0,8,0.0,0,3,0.0,0,5
NYKAA.csv,0.0,0,5,-1,-1,-1,0.0,0,5
OAL.csv,57.14,4,3,100.0,1,0,50.0,3,3
OBEROIRLTY.csv,40.0,4,6,50.0,4,4,0.0,0,2
OIL.csv,53.33,8,7,53.33,8,7,-1.0,-1,-1
OLECTRA.csv,45.45,5,6,-1,-1,-1,45.45,5,6
OMAXE.csv,30.0,3,7,40.0,2,3,20.0,1,4
ONGC.csv,58.33,7,5,50.0,4,4,75.0,3,1
ORIENTCEM.csv,47.37,9,10,42.86,6,8,60.0,3,2
